REF_AREA,REF_AREA_LABEL,months_count,mean_inflation,volatility,max_inflation,min_inflation,cluster,cluster_name
IDN,Indonesia,292,7.168758753424663,4.7482063013859,21.822885,-1.55477,1,Volatile Inflation
IRN,"Iran, Islamic Rep.",294,26.8742738707483,19.436942308860488,87.053464,-4.195804,1,Volatile Inflation
IRQ,Iraq,294,6.81977931632653,7.325632176003944,29.855526,-6.544755,1,Volatile Inflation
IRL,Ireland,294,1.023142030612245,3.7945392911285154,13.118527,-8.159204,1,Volatile Inflation
ISR,Israel,294,2.506789448979592,3.3739148942800608,15.781487,-4.508671,1,Volatile Inflation
ITA,Italy,294,2.5617045782312924,2.7239425408291726,13.619403,-0.770713,1,Volatile Inflation
JAM,Jamaica,294,9.729475823129262,6.233262088633249,34.892423,0.060533,1,Volatile Inflation
JPN,Japan,294,1.4682344285714288,2.690986655010806,8.907563,-4.688084,1,Volatile Inflation
JOR,Jordan,294,3.342077778911566,4.865467405383841,27.703047,-5.900722,1,Volatile Inflation
KAZ,Kazakhstan,294,9.34799496938775,5.754794449946908,31.767067,1.800277,1,Volatile Inflation
KEN,Kenya,294,10.109915680272104,6.067099335588139,26.203804,-1.154977,1,Volatile Inflation
KIR,Kiribati,285,2.637762505263161,9.235022716260262,47.970911,-17.166952,0,Stable Inflation
KWT,Kuwait,294,4.561214275510205,3.32101398303812,14.195584,-1.022305,1,Volatile Inflation
KGZ,Kyrgyz Republic,294,7.573286653061226,10.55207462810988,48.161722,-10.309411,0,Stable Inflation
LAO,Lao PDR,294,11.159564408163265,9.87383781341324,52.68716,-2.10734,1,Volatile Inflation
LVA,Latvia,294,5.479785197278913,6.713999133085206,29.521027,-7.7917,1,Volatile Inflation
LBN,Lebanon,294,52.886356690476205,110.90444133830636,483.152722,-3.301503,1,Volatile Inflation
LSO,Lesotho,294,8.98982604421769,9.728019376629408,52.943409,-14.182068,0,Stable Inflation
LBR,Liberia,294,12.421067374149652,9.321792384501054,39.243284,-7.051256,1,Volatile Inflation
LBY,Libya,293,6.068656897610924,14.07234306799564,52.644116,-23.768201,0,Stable Inflation
LTU,Lithuania,294,4.5035752585034,7.30817213827246,35.593703,-7.273863,1,Volatile Inflation
LUX,Luxembourg,294,2.839243704081632,2.4067683178058594,13.268553,-1.145959,1,Volatile Inflation
MDG,Madagascar,286,8.755168615384617,8.128295793202986,50.848521,-10.266774,0,Stable Inflation
MWI,Malawi,292,16.45558797945206,10.76787857695718,44.917755,1.70812,1,Volatile Inflation
MYS,Malaysia,294,3.1161086190476204,2.119629820483899,12.277413,0.0,1,Volatile Inflation
MDV,Maldives,294,6.04138017346939,8.623789815601214,32.267142,-17.52839,0,Stable Inflation
MLI,Mali,290,3.186996600000001,6.1735413387223055,23.042169,-12.894376,0,Stable Inflation
MLT,Malta,294,3.705827418367348,3.137373831071351,13.692075,-4.18483,1,Volatile Inflation
